election_num,state,Ypos,Xpos,MOE_original, MOE_instance,Trump,Clinton,Trump_New, Clinton_New,Trump_EVotes,Clinton_EVotes,Flip_Ind,MOE_Rare_Ind,Surprise_Ind
6,Florida,8,9,3.3,1.11,50,46,50,47.11,29,0,0,0,0
6,Georgia,7,8,2.8,0.97,52,45,52,45.97,16,0,0,0,0
6,Hawaii,1,2,5.0,3.16,30,62,30,65.16,0,4,0,0,0
6,Idaho,3,2,4.0,2.69,48,29,50.69,29,4,0,0,0,0
6,Illinois,3,6,4.3,1.36,41,53,41,54.36,0,20,0,0,0
6,Indiana,4,6,4.0,3.59,48,37,51.59,37,11,0,0,0,0
6,Iowa,4,5,3.5,1.66,46,39,47.66,39,6,0,0,0,0
6,Kansas,6,4,5.5,3.21,58,34,61.21,34,6,0,0,0,0
6,Kentucky,5,6,4.0,0.5,54,37,54,37.5,8,0,0,0,0
6,Louisiana,7,5,4.4,1.82,50,35,50,36.82,8,0,0,0,0
6,Maine,1,11,3.5,2.1,42,46,42,48.1,0,4,0,0,0
6,Maryland,5,9,4.0,3.07,27,63,30.07,63,0,10,0,0,0
6,Massachusetts,3,10,5.0,1.46,26,56,27.46,56,0,11,0,0,0
6,Michigan,3,7,2.8,1.23,49,47,49,48.23,16,0,0,0,0
6,Minnesota,3,5,3.9,0.49,39,49,39,49.49,0,10,0,0,0
6,Missouri,7,6,3.5,1.25,47,41,47,42.25,10,0,0,0,0
6,Mississippi,5,5,2.9,1.29,54,39,54,40.29,6,0,0,0,0
6,Montana,3,3,3.2,4.57,46,36,50.57,36,3,0,0,1,0
6,Nebraska,5,4,3.6,1.59,56,29,57.59,29,5,0,0,0,0
6,Nevada,4,2,4.9,0.33,46,46,46.33,46,6,0,1,0,0
6,New Hampshire,2,11,3.7,1.23,38,49,38,50.23,0,4,0,0,0
6,New Jersey,4,9,3.8,2.77,40,51,40,53.77,0,14,0,0,0
6,New Mexico,6,3,1.8,0.64,44,46,44.64,46,0,5,0,0,0
6,New York,3,9,4.5,4.1,34,51,34,55.1,0,29,0,0,0
6,North Carolina,6,7,3.5,1.18,44,44,44,45.18,0,15,1,0,0
6,North Dakota,3,4,4.9,1.41,43,32,43,33.41,3,0,0,0,0
6,Ohio,4,7,3.2,0.92,46,39,46,39.92,18,0,0,0,0
6,Oklahoma,7,4,4.3,3.49,60,30,60,33.49,7,0,0,0,0
6,Oregon,4,1,4.4,2.25,34,41,34,43.25,0,7,0,0,0
6,Pennsylvania,4,8,2.8,1.25,40,46,41.25,46,0,20,0,0,0
6,Rhode Island,4,11,3.4,1.85,32,52,32,53.85,0,4,0,0,0
6,South Carolina,6,8,4.4,4.35,47,36,47,40.35,9,0,0,0,0
6,South Dakota,4,4,4.0,2.22,49,35,51.22,35,3,0,0,0,0
6,Tennessee,6,6,4.4,1.39,44,34,45.39,34,11,0,0,0,0
6,Texas,8,4,3.6,0.84,49,35,49.84,35,38,0,0,0,0
6,Utah,5,2,2.7,0.77,40,30,40,30.77,6,0,0,0,0
6,Vermont,2,10,3.0,1.98,26,52,27.98,52,0,3,0,0,0
6,Virginia,5,8,3.6,2.59,42,48,44.59,48,0,13,0,0,0
6,Washington,3,1,4.9,1.63,39,55,39,56.63,0,12,0,0,0
6,West Virginia,5,7,5.0,3.36,60,28,60,31.36,5,0,0,0,0
6,Wisconsin,2,6,1.9,1.5,41,49,41,50.5,0,10,0,0,0
6,Wyoming,4,3,3.6,8.42,58,20,66.42,20,3,0,0,1,0
6,totals,,,,,,,0,1,252,286,,,1
7,Alabama,7,7,2.0,0.5,48,32,48,32.5,9,0,0,0,0
7,Alaska,1,1,4.9,2.05,43,47,43,49.05,0,3,0,0,0
7,Arizona,6,2,4.9,4.71,47,45,51.71,45,11,0,0,0,0
7,Arkansas,6,5,4.1,3.19,59,36,59,39.19,6,0,0,0,0
7,California,5,1,4.9,9.04,35,58,35,67.04,0,55,0,1,0
7,Colorado,5,3,3.7,0.72,43,48,43,48.72,0,9,0,0,0
7,Connecticut,4,10,3.0,2.96,35,50,35,52.96,0,7,0,0,0
7,Delaware,5,10,4.1,1.33,30,51,31.33,51,0,3,0,0,0
7,District of Columbia,6,9,4.9,2.33,4,91,4,93.33,0,3,0,0,0
7,Florida,8,9,3.3,3.13,50,46,50,49.13,29,0,0,0,0
7,Georgia,7,8,2.8,2.37,52,45,52,47.37,16,0,0,0,0
7,Hawaii,1,2,5.0,2.69,30,62,32.69,62,0,4,0,0,0
7,Idaho,3,2,4.0,3.29,48,29,51.29,29,4,0,0,0,0
7,Illinois,3,6,4.3,1.85,41,53,42.85,53,0,20,0,0,0
7,Indiana,4,6,4.0,0.37,48,37,48,37.37,11,0,0,0,0
7,Iowa,4,5,3.5,0.46,46,39,46,39.46,6,0,0,0,0
7,Kansas,6,4,5.5,1.31,58,34,58,35.31,6,0,0,0,0
7,Kentucky,5,6,4.0,3.54,54,37,57.54,37,8,0,0,0,0
7,Louisiana,7,5,4.4,4.12,50,35,50,39.12,8,0,0,0,0
7,Maine,1,11,3.5,2.33,42,46,42,48.33,0,4,0,0,0
7,Maryland,5,9,4.0,1.25,27,63,27,64.25,0,10,0,0,0
7,Massachusetts,3,10,5.0,3.57,26,56,29.57,56,0,11,0,0,0
7,Michigan,3,7,2.8,8.89,49,47,57.89,47,16,0,0,1,0
7,Minnesota,3,5,3.9,3.83,39,49,42.83,49,0,10,0,0,0
7,Missouri,7,6,3.5,1.98,47,41,48.98,41,10,0,0,0,0
7,Mississippi,5,5,2.9,2.33,54,39,56.33,39,6,0,0,0,0
7,Montana,3,3,3.2,0.49,46,36,46.49,36,3,0,0,0,0
7,Nebraska,5,4,3.6,1.18,56,29,56,30.18,5,0,0,0,0
7,Nevada,4,2,4.9,0.16,46,46,46,46.16,0,6,1,0,0
7,New Hampshire,2,11,3.7,2.46,38,49,40.46,49,0,4,0,0,0
